stars,comment
5.0 out of 5 stars,"







  
  
    This watch is PERFECT! The unboxing process was an incredible experience!
  
"
5.0 out of 5 stars,"







  
  
    So far I absolutely love this watch.  Really like the customizable face and really like the fact I can make and take calls!  Recommend it highly having replaced my Fitbit Versa lite with this watch.  All of my Iphone features on my wrist..what’s not to like? Glad I made this purchase.
  
"
5.0 out of 5 stars,"







  
  
    For the most part I really like my apple 5 watch. The one major thing I don't like is the water proof-ness. Because of the reviews etc I don’t wear it in the shower or while washing dishes. Kind of a disappointment there. 1 other thing I’ve noticed is the activity app is based on calories rather than steps. I would prefer a step goal rather than a caloric goal. I love how light it feels on my wrist. I like having access to messages and being able to reply quickly if my phone is in my purse. I like being able to customize it to fit my likes. I imagine I will always have an apple watch going forward.
  
"
1.0 out of 5 stars,"







  
  
    Package received without watch in the box.  Only received bands and plug and cable
  
"
5.0 out of 5 stars,"







  
  
    I love my Apple Watch! It is amazing! I love that it remind me to stand every hour and to move. I live being able to read and answer text messages and being able to see who is calling and answer the call through the watch if I’m not close to my phone!
  
"
5.0 out of 5 stars,"







  
  
    It arrived in perfect condition.The packaging is amazing. Well, Apple knows how to do that : ) I just love it!
  
"
3.0 out of 5 stars,"







  
  
    The new Series 5 watch is mostly great, it just has terrible battery life. Screen is brilliant and the new SOC makes this device a speed demon. The downside is the battery lasts maybe 18 hours where my previous Series 2 lasted nearly 48 hours.
  
"
5.0 out of 5 stars,"







  
  
    I was afraid of this watch not keeping a charge for the day.  But I really only use it to track sleep and track exercise.  My battery lasts all day without issue.  I do not have the background app refresh on all my apps.  I do get notifications on it but I am not using it all day so the screen is not on using the battery life.  I charged it this morning and 9 hours later the battery is at 78%.
  
"
5.0 out of 5 stars,"







  
  
    My dad is concerned about falling, so we asked him if he would wear an apple watch, he agreed. Within a week, my dad had a fall, fortunately, friends were with him. The watch asked him if he fell. When my dad said yes, it asked if he wanted the watch to call for help. He said no I have friends with me.
  
"
5.0 out of 5 stars,"







  
  
    First iwatch I’ve owned & it’s great. Very easy to figure out.  I like the fact that I can make/receive phone calls and text messages on my wrist when I can’t reach my phone.  Don’t need the cellular watch cause the Bluetooth works extremely well & is loud & clear for incoming & outgoing calls & text messages.  I don’t use the sleep tracking app cause I don’t sleep with the watch on. Battery life is good.  When I’m not wearing the watch it’s powered off so the life lasts a day or so.
  
"
5.0 out of 5 stars,"







  
  
    Coming from an Android Wear and Android phone background to an Apple Watch and iPhone.  The integration between watch and phone is so much better with the Apple products.  Apple Watch 5 is fast, extremely responsive and head and shoulders above the Fossil Sport I was using previously (with a Pixel 2XL).  It just works and works all the time.
  
"
5.0 out of 5 stars,"







  
  
    I am just getting use to wearing my new Apple watch.  Still trying out several of the features; more than I expected.  I don't feel qualified to evaluate the watch yet, but will come back in the future with my observations.
  
"
5.0 out of 5 stars,"







  
  
    Series 5 finally shows you the time without flicking your wrist or tapping the screen. That solves what always annoyed me the most about the earlier versions. It now tells you the time like an actual watch!
  
"
5.0 out of 5 stars,"







  
  
    This is my 2nd Apple Watch. My first was a series 3. The upgrades are so worth the money. The always on display and heart monitor are game changers. Love it.
  
"
4.0 out of 5 stars,"







  
  
    When I used it do my first 2&1/2 hour run the battery went to Low Battery Mode near the end. When I finished the run I was down to 8% battery remains.
  
"
5.0 out of 5 stars,"







  
  
    Upgraded to Watch 5 from 1. Many improvements, like the always on display and additional watch faces. Would have liked a browser installed like Safari. Otherwise a great device.
  
"
5.0 out of 5 stars,"







  
  
    Love Apple watches ! I loved mine and my boyfriend really wanted one so I got this for him for Christmas ! He loves it
  
"
5.0 out of 5 stars,"







  
  
    This is my first smart watch, in general. I don’t have much to compare it to. However, I love how I can stay connected to calls and messages while at work (“no cell phones” policy). Also, it has motivated me to be more active and increase my “step count.”
  
"
5.0 out of 5 stars,"







  
  
    Love it for fitness and health. Kinda hard to figure out as there is no manual that comes with it. Which as far as I can tell is the only fail.
  
"
5.0 out of 5 stars,"







  
  
    This is not a watch. You get phone calls on it, talk to it, get messages, get news headlines and stories. It monitors your cardio, prompts you to walk even breath, and is a great golf GPS. Tells the date, the weather, and even the time. This is not a “watch”.
  
"
5.0 out of 5 stars,"







  
  
    I had a series 3 and liked it.  The 5 is even better. Larger face, new faces and always on display sold me.
  
"
5.0 out of 5 stars,"







  
  
    Was an upgrade from series 1. Well worth it. The battery lasts all day even with the screen always on.
  
"
5.0 out of 5 stars,"







  
  
    Love, love, love my new Apple Watch!! It’s exactly what I didn’t know that I needed. The always wake screen is great because it always displays the date and time without having to wake the whole Apple Watch. I love that I am able to respond to texts and answer phone calls straight from my watch. If you’re thinking about buying the series 5, do it. You won’t regret it.
  
"
5.0 out of 5 stars,"







  
  
    enjoy the product replace my regular and exercise watch wish battery would last longer. good integration with iphone.
  
"
5.0 out of 5 stars,"







  
  
    Great watch. Does everything they said it would. Seamless interface with phone and easy to use.
  
"
4.0 out of 5 stars,"







  
  
    FANTASTIC Black Friday price. Got watch, tempered glass all around screen protector, coral wristband all for $379. SCORED. Watch was $354. Daughter says its working perfectly.
  
"
5.0 out of 5 stars,"







  
  
    Very easy to set up with no problems, I look forward to using this Apple Watch many years down the road
  
"
5.0 out of 5 stars,"







  
  
    My son can’t live without it now. He has connected this watch with his MacBook and iPhone
  
"
5.0 out of 5 stars,"







  
  
    The watch is a nice size and not overbearing on my small wrist. The band is super soft, but supports the weight of the watch. It is easy to use and understand. I own a business and this watch allows me to see all texts, notifications and calls without interrupting my clients. I love the health apps! It reminds me to breathe, stand, and to work toward hitting my goals. Love this watch!
  
"
5.0 out of 5 stars,"







  
  
    This watch is great! It does everything and it’s super easy to use. I love it for tracking workouts!
  
"
